'snails	'con oc sen
unpaved	khong lat da
unpay	bo tra
unpeace	bo cuoc
unpedigreed	khong duoc chi dinh
unpeeled	chua boc vo
unpeerable	khong the day duoc
unpeered	chua khai thac
unpen	dam may manh
unpenetrable	khong the xuyen thung
unperegal	khong hop phap
unperfection	khong hoan hao
unperishable	khong the pha vo
unperplex	kho hieu
unpersuasion	su gia mao
unpervert	khong bien doi
unphilosophize	unphi triet hoc
unpicked	bo chon
unpinion	bo y kien
unpitied	khong co giay
unpitious	khong co tham vong
unpitousty	khong thich
unpity	su vo hieu
unplacable	khong the dat duoc
unplaced	khong co cho dung
unplaid	khong trang
unplained	khong giai thich duoc
unplausive	khong pho truong
unpleaded	khong co hat
unpleasive	khong khoan nhuong
unpleat	thao roi
unplumb	rut phich cam dien
unplume	rut ra
unpoised	khong bi trung phat
unpolicied	khong co hieu qua
unpolish	khong vui ve
unpolite	khong lich su
unpolitic	phi chinh tri
unpolled	chua tra loi
unpope	mo khoa
unportunate	khong the thao
unportuous	khong de dai
unpossess	khong cong khai
unpossibility	khong the tin cay
unpossible	khong the giai thich
unpower	thao dien
unpowerful	khong co suc manh
unpracticable	khong the thuc hien duoc
unpraise	khong khen ngoi
unprayable	khong the tron duoc
unprayed	khong dan
unpreach	khong chuan bi
unprecedented	chua tung co
unpredict	khong the doan truoc
unprejudiced	khong thanh kien
unprevented	khong duoc chuan bi
unpriced	khong dinh gia
unpriest	khong dung dan
unprinciple	khong co nguyen tac
unprincipled	khong dao duc
unprison	khong ngac nhien
unprizable	khong the phan biet duoc
unproficiency	khong thanh thao
unprofit	phi loi nhuan
unprofited	khong co loi
unproper	khong chuyen nghiep
unproselyte	khiem ton
unprovide	khong cung cap
unprovident	khong tu tin
unprudent	khong than trong
unprudential	khong can trong
unpucker	bo thuoc la
unpure	may man truoc
unpursed	khong co loi nguyen
unqualify	khong du tieu chuan
unquestionable	khong the nghi ngo
unquestioned	khong nghi ngo
unquick	khong nhanh chong
unquiet	khong can thiet
unquietude	bon chon
unreadiness	khong doc duoc
unready	chua co
unrealize	khong thuc te
unreasoned	khong co ly do
unreave	khong luu
unreaved	chua duoc cuu
unrebukable	khong the xac nhan
unredeemed	khong duoc nhan
unreformation	khong co thong tin
unregeneracy	khong dong nhat
unregenerated	khong tai tao
unregeneration	khong tai sinh
unrein	o ue
unreligious	khong co uy tin
unremembrance	khong khoan dung
unremitting	khong ngung
unremorseless	khong cu dong
unrepentance	khong an nan
unreprievable	khong the lay duoc
unreproachable	khong the tiep can
unreproved	khong duoc chung minh
unreputable	khong the choi cai
unreserve	khong bao ton
unreserved	khong duoc bao quan
unresistance	khong ben vung
unresisted	khong co bao ke
unresistible	khong the cuong lai
unresponsible	khong co trach nhiem
unrestraint	khong kiem che
unresty	bat on
unrevenued	khong duoc thanh toan
unreverend	khong kinh trong
unreverently	khong ton trong
unright	khong on
unrighteous	bat chinh
unringed	khong co day
unrioted	chua duoc trich dan
unripeness	chua chin
unrivaled	vo song
unrivet	thao chay
unrobe	coi quan ao
unroll	bo cuon
unroof	mo cua
unruinate	phong tung
unruinated	khong co nhieu
unruled	khong theo luat
unruly	ngo nghich
unrumple	khong du da
unsacrament	bi tich
unsaddle	khong yen
unsadness	su bat can
unsafety	khong an toan
unsaint	thanh doc than
unsalable	khong the an duoc
unsanctification	su huy bo
unsatiate	khong no
unsatisfaction	khong hai long
unsaturation	khong bao hoa
unscale	boc lop
unscapable	khong co kha nang
unsceptred	khong duoc chap nhan
unscience	khong khoa hoc
unscrew	thao xoan
unscrupulous	vo luong tam
unscrutable	khong the hieu duoc
unseam	thao nhom
unsearchable	khong the tim duoc
unseason	trai mua
unseasonable	khong hop ly
unseasoned	khong co mua
unseconded	khong tra loi
unsecret	khong giau giem
unsecularize	khong theo quy luat
unsecure	tu ho
unseel	boc tach
unseldom	hiem khi
unsely	khong tin cay
unseminared	khong co nguon goc
unsensed	chua duoc lam sach
unsensible	khong the nhin thay duoc
unsensualize	vo nghia hoa
unservice	khong co kinh nghiem
unset	khong dat
unsettle	khong yen tam
unsettledness	su bat an
unsettlement	su giai quyet
unseven	chua duoc kiem chung
unsew	ho da quen mat
unsexed	chua duoc phan loai
unsexual	vo tinh
unshackle	thao xich
unshakable	khong the lay chuyen
unshaked	khong chia se
unshaped	khong dinh hinh
unshapen	khong mo
unsheathe	coi tran
unshell	boc vo
unshent	sinh vien
unsheriff	lam giam doc
unshiftable	khong the thay doi
unship	bo tau
unshipment	khong van chuyen
unshot	khong ban
unshrubbed	khong co bui
unshutter	khong noi
unsighted	kho coi
unsimplicity	khong don gian
unsin	vo ly
unsincere	khong thanh that
unsincerity	su chan thanh
unsinew	khong ro rang
unsister	huy dang ky
unsitting	bo nghe
unskill	khong co tay nghe
unskillful	khong kheo leo
unslacked	khong co tui
unslaked	khong manh vai che than
unsluice	khong co chat thai
unsociability	su khong hoa hop
unsociable	khong the tach roi
unsocket	bo tui
unsoft	khong co mai che
unsolder	khong lanh lung
unsoldiered	khong ban duoc
unsolemnize	giai tru
unsoot	go bo
unsophisticated	khong phuc tap
unsorrowed	khong buon phien
unsorted	khong duoc sap xep
unsoul	khong pham loi
unsoutcheoned	khong co giay to
unsparing	khong ban tam
unspeak	khong noi ra
unspeakable	khong the noi ra
unspecialized	khong chuyen biet
unsped	chua dinh hinh
unsphere	khong o dau
unspilt	chua choi
unspin	bo ghim
unspirit	khong co linh hon
unspiritalize	lam mat tinh than
unspleened	khong bi cat
unspotted	khong co dau vet
unsquire	hoi han
unstable	khong on dinh
unstack	do hang
unstarch	khong tim kiem
unsteel	khong luyen
unstep	buoc ra ngoai
unstick	khong dinh
unstill	khong de lai
unsting	dau gach noi
unstitch	khong khau
unstockinged	khong co hang
unstop	khong dung lai
unstrained	khong duoc huan luyen
unstratified	khong duoc phan cap
unstrength	suc ben
unstriated	khong lai xe
unstring	thao day
unstriped	khong danh may
unsubstantial	khong dang ke
unsubstantiation	khong co co so
unsucceedable	khong the thanh cong
unsuccessful	khong thanh cong
unsuffering	xao tron
unsufficience	khong hieu qua
unsufficiency	su thieu hut
unsufficient	khong du
unsupportable	khong the ho tro
unsured	khong dam bao
unsurety	khong chac chan
unsurmountable	khong the vuot qua
unswayable	khong the tra duoc
unsweat	khong beo
unsymmetrically	khong doi xung
unsympathy	khong thong cam
untackle	thao go
untalked	chua duoc danh dau
untangibility	vo hinh
untangible	phi vat the
untangibly	khong the tin duoc
untappice	khong ung tuyen
untaste	khong co mui vi
unteam	go doi
untemperate	khong suy xet
untempter	khong duoc cham soc
untenant	khong co nguoi giao uoc
untent	xuc dau
untented	chua duoc cap phep
unthink	khong nghi den
unthinker	khong tuong tuong
unthinking	khong suy nghi
unthrift	di qua
unthriftily	khong chan thanh
unthriftiness	khong chan that
unthrone	len ngoi
untidy	khong gon gang
until	cho den khi
untimeliness	khong dung luc
untimely	khong kip thoi
untimeous	khong co thoi gian
untimeously	khong lau
untitled	khong co tieu de
untold	khong ke het
untowardly	khong ngoan co
untraded	khong duoc danh gia
untrained	chua qua dao tao
untrammeled	khong co giao trinh
untraveled	lam sang to
untread	chua doc
untreasure	khong do luong duoc
untreasured	khong duoc dam bao
untreatable	khong the dieu tri duoc
untrenched	khong bi tray xuoc
untressed	khong mac quan ao
untrowable	khong the moc duoc
untrue	khong co that
untruism	khong chu nghia
untrunked	chua duoc khai pha
untruss	khong co giay to tuy than
untrusser	nguoi khong tin tuong
untrust	khong tin tuong
untrustful	khong dang tin cay
untruthful	khong trung thuc
untune	rang cua anh ay
unturned	chua lat
untwirl	go roi
untwist	coi troi
unty	non mua
unusual	khong binh thuong
unusuality	khong su dung duoc
unvalued	khong co gia tri
unvariable	khong thay doi
unveil	tiet lo
unveiler	cong bo
unveracity	khong xac thuc
unvicar	roi loan
unviolable	bat kha xam pham
unvisard	bo qua
unvisible	khong the nhin thay
unvisibly	khong the thay duoc
unvitiated	khong co loi khuyen
unvoluntary	khong tu nguyen
unvulgarize	huy bo
unvulnerable	khong the cuu van
unware	khong nhan biet
unwarily	bat dac di
unwariness	su khong can than
unwarm	coi ra
unwarped	khong chien
unwarranted	khong chinh dang
unwashed	chua rua
unwayed	bo di
unwearied	chua kho
unweary	khong quan ao
unweave	chua den
unwedgeable	khong the giai quyet duoc
unweighing	khong can
unweld	khong duoc su dung
unweldy	khong can than
unwellness	khong khoe
unwemmed	thao ra
unwhole	so ho
unwieldy	nguoi khong tin
unwild	chua xay dung
unwind	thu gian
unwisdom	ngoai lanh dia
unwise	khong khon ngoan
unwisely	bat can
unwish	khong ngoan
unwit	khong cho phep
unwitch	coi bo
unwitting	khong co y
unwoman	khong co nguoi quan thuc
unwork	khong lam viec
unworldly	khong co the gioi
unworship	khong tho cung
unworthy	khong xung dang
unwreathe	khong an
unwrie	khong quen
unwrinkle	khong nhan
unwrite	khong viet
unwritten	bat thanh van
unyoke	ban la mot con ran
unyoked	chua nau chin
unzoned	khong co vo boc
up-line	len duong
up-train	len tau
upblow	thoi len
upbreak	bung phat
upbreed	giong noi
upbuoyance	su thang hoa
upburst	su bung no
upcast	u am
upcoil	nen tang
upcurl	nuoc len
updraw	cap nhat
upflow	dong chay len
upgive	ung ho
upgrow	lon len
upgrowth	tang truong
uphand	nghien cuu
uphang	an cuop
upheaped	tang len
upher	nguoi nang len
uphill	len doc
uphold	de cao
upholder	nang do
upholsterer	nguoi boc ghe
upholstery	vai boc
uphroe	buoi chieu
uplandish	vung cao
uplead	bo sung
uplifting	nang cao tinh than
uplock	be tac
uplook	trien vong
upmost	cao nhat
upokororo	benh nhan
upper	phia tren
uppermost	tren cung
uppertendom	thuong luu
uppile	bi chet duoi
uppluck	khai mac
uppricked	khong duoc kiem soat
upprop	cuoc goi
uprear	phan chan
uprightness	ngay thang
uprise	vo gia
uprising	cuoc noi day
uprist	thuong luu
uproar	nao dong
uproarious	nao nhiet
uproot	nho
uprouse	khoi day
uprun	chay len
upsend	gui lai
upshot	anh chup
upsidown	lon nguoc
upskip	su thang tien
upsnatch	nang len
upsodown	len roi xuong
upspear	thang hoa
upspurner	nguoi di len
upstairs	tang tren
upstand	dung vung
upstare	len tren
upstart	moi noi
upsterte	noi len
upstir	thang cap
upstream	thuong nguon
upstreet	ngoai o
upswarm	lam am
upsyturvy	nang cao
uptails all	uptails tat ca
uptake	hap thu
upthrow	moc len
uptill	len den
uptown	trong khu
uptrain	nang cao trinh do
upward	huong len
upwards	tro len
upwind	gio nguoc
urali	mieng
uralian	nguoi uc
uralitization	phi tap trung hoa
uran-ochre	nghe nghiep
uran-utan	khong chua uranium
uranology	khoa hoc uranology
uranoso-	mat sau
uranus	sao thien vuong
urari	xuong nuoc
uratic	dan toc
urbaniste	nha quy hoach do thi
urbanity	su ngu xuan
urbanize	do thi hoa
urbicolous	co mau xam xit
urchin	nhim
ureameter	may do nieu quan
urechitin	tai
uredo	hieu roi
ureteritis	viem nieu quan
urethritis	viem nieu dao
urethroplasty	nong nieu dao
urethrotome	nieu dao
urethrotomy	cat nieu dao
urgent	khan cap
urgently	khan truong
urger	nguoi thuc giuc
urim	chuc mung
urinarium	bon tieu
urinary	tiet nieu
urinative	tieu tien
urinator	nguoi di tieu
uriniferous	co lo tieu
uriniparous	nuoc tieu
urinogenital	co quan sinh duc
urinometry	may do nuoc tieu
urinose	dua ra ban
urite	ban
urith	di tieu
urnal	tap chi
urnful	nho nhoi
urnfuls	lo nho
urochord	dan bau
urogastric	da day
urogenital	nieu sinh duc
urohyal	nieu quan
uronology	khoa tiet nieu
uropoetic	tieu duong
uroscopy	noi soi nieu dao
urostea	nam gioi
urosteon	nam tinh
urosteons	tieu hanh tinh
urson	mot chu gau
ursuk	cay bac
urtical	cap bach
urticaria	may day
urticating	thuc giuc
urtication	su thuc giuc
urus	quan ly
us	chung ta
usage	cach su dung
usance	quen voi
used	da su dung
usefulness	su huu ich
useless	vo ich
user	nguoi su dung
ushering	mo ra
ushership	quyen chiem huu
usitative	dinh tinh
usself	ban than chung ta
usual	binh thuong
usurarious	long lay
usurer	nguoi cho thue
usurious	to mo
usurpant	ho chiem doat
usurper	ke chiem doat
usurping	chiem doat
usurpingly	soan ngoi
usury	cho vay nang lai
ut	ngoai
utas	hanh khach
utensil	dung cu
uterogestation	xac dinh tu cung
uti possidetis	su dung tai san cua ban
utile	huu ich
utilitarian	thuc dung
utilitarianism	thuyet vi loi
utility	tinh thiet thuc
utilizable	su dung duoc
utilization	su su dung
utilize	tan dung
utilizing	su dung
utlary	mau muc
utopianism	chu nghia khong tuong
utopianist	nguoi theo chu nghia khong tuong
utopist	khong tuong
utraquist	anh ay se chien dau
utricular	vo luan
utriculate	noi ra
utro	gian lan
utterable	khong the noi duoc
uttered	phat ngon
utterer	nguoi noi
uttering	thot ra
utterless	hoan toan khong
uttermost	het suc
uvate	ngu
uvulatomy	phau thuat cat uvulatomy
uwarowite	tin tuc
uxorious	khet tieng
v moth	v buom dem
vacancies	vi tri tuyen dung
vacancy	vi tri con trong
vacation	ki nghi
vaccinia	tiem chung
vaccinist	nguoi tiem chung
vacher	nguoi chan bo
vacillating	lam trong
vacuate	trong rong
vacuation	ky nghi
vacuist	nguoi hut chan khong
vacuna	vac xin
vacuolation	hut chan khong
vacuole	khong bao
vacuous	bo trong
vacuousness	cho trong
vacuums	may hut bui
vadantes	di ra ngoai
vade	truong thanh
vade mecum	di voi toi
vadimony	vo cua anh ay
vadium	tien bao lanh
vae	doi chan
vafrous	toc mai
vagabondism	thuyet lang thang
vagarious	man ro
vagary	lop
vaginae	vo boc
vaginant	ho bao gom
vaginati	co vo boc
vaginervose	day than kinh am dao
vaginismus	chung phe vi
vaginitis	viem am dao
vaginopennous	am dao
vagous	cam
vagueness	su mo ho
vagus	phe vi
vaimure	dau kho ve tinh than
vain	chi co
vainglorious	hay khoe khoang
vainglory	hu vinh
vainly	keu cang
vainness	su vo ich
vair	nua khong
vaishnavism	chu nghia vaishnavism
vakeel	luat su
valance	duong diem
vale	thung lung
valediction	su danh gia
valedictories	nhung ky niem
valedictory	thu khoa
valence	hoa tri
valenciennes lace	ren valenciennes
valentine	le tinh nhan
valentinian	nguoi valentinian
valerin	toi da noi doi
valetudinarian	nha cung cap dich vu y te
valetudinarianism	benh vien
valetudinary	nguoi hau
valiancy	su dung cam
validation	tham dinh
validness	hop le
valla	do thi
vallar	linh vuc
valleculae	cac thung lung
vallet's pills	thuoc cua vallet
valleys	thung lung
valuable	quy gia
valuation	dinh gia
valueless	khong co gia tri
valuer	nguoi dinh gia
valuing	dinh gia tri
valvasor	dung cam
valvata	bao ve
valvate	ban bao ve
valve	van nuoc
valve-shell	van-vo
valved	co gia tri
valvelet	ban dang thuc
valvula	cai van
vampirism	chu nghia ma ca rong
vamplate	ma ca rong
vamure	giet chung
van-courier	van-chuyen phat nhanh
vanadate	ho dang hen ho
vanadinite	cac vanadines
vanadite	cac vanadiums
vandalism	su pha hoai
vane	ho co
vanglo	pha san
vanguard	doi tien phong
vaniloquence	su phu phiem
vanish	tan bien
vanishing	bien mat
vanishment	su bien mat
vanities	phu phiem
vanity	tu phu
vanner	nhieu nuoc
vanner hawk	dieu hau nuoc
vanning	thuy loi
vanquishable	co the mua duoc
vanquisher	nguoi thang tran
vanquishing	danh lua
vant-courier	vant-chuyen phat nhanh
vantage	thuan loi
vanward	huong ve phia truoc
vaporiform	dang hoi
vaporimeter	may do hoi
vaporizable	co the boc hoi
vaporization	hoa hoi
vaporizer	may hoa hoi
vaporous	may hap
vaporousness	hoi nuoc
vapulation	su boc hoi
vaquero	cao boi
vara	thi la o
varan	den
vare	muc
variable	bien doi
variance	phuong sai
varicosity	su khac nhau
varicous	gian tinh mach
varietal	giong nhau
varieties	dang cap
variety	da dang
variform	bien the
variformed	bien dang
varify	bien doi
variola	benh dau mua
variolation	bien di
variolitic	thuoc ve chinh tri
variolous	cot song
variorum	cua nhieu
various	nhieu
variously	khac nhau
varisse	suy tinh mach
vark	lon
varnish	son dau
varnisher	nguoi danh vecni
varvel	tren ngon chan
varveled	danh vecni
vary	thay doi
varying	thay doi
vasa deferentia	tau dang kinh
vascula	tau thuyen
vasculum	mot chiec tau
vase	lo cam hoa
vase-shaped	hinh cai binh
vaso-inhibitory	uc che mach mau
vasoconstrictor	thuoc co mach
vasodilator	thuoc gian mach
vasoformative	co mach
vasomotor	thuoc van mach
vastation	su bao la
vastel	muc dich
vastidity	mach mau
vastity	tac mach
vastness	su rong lon
vasty	bao la
vat	thung
vatful	co nhieu
vaticanism	chu nghia vaticanism
vaticanist	nguoi ve vaticanist
vaticinate	tien tri
vaticination	su say me
vaticinator	thay boi
vatting	dong thung
vaudeville	tap ky
vaudois	waldensian
vaulted	co mai vom
vaulting	kho tien
vaulty	kho khan
vaunt-courier	vaunt-chuyen phat nhanh
vaunted	ca ngoi
vauntful	vui ve
vaunting	ca tung
vauntingly	khoe khoang
vavasor	chu hau
vavasory	mot diem bao
vaza parrot	vet vaza
veadar	con nai
vedro	gau muc
veering	xoay vong
veery	tinh dich
vega	sao chuc nu
vegetal	rau qua
vegetarianism	an chay
vegetation	tham thuc vat
vegetive	thuc vat
vegeto-animal	dong vat thuc vat
vehemently	kich liet
vehiculate	luu hanh
veiling	ban dau gia
veilless	khong co mang
veinal	gan la
veinless	khong co mach
veiny	co van
velate	che kin mat
vele	voi anh ay
velecipedist	nguoi theo thuyet khoa dan
veliferous	co nhieu long
veliger	khoa dan
velitation	su bay nhanh
velivolant	chat long
vellicated	duoc bao ve
vellicative	nguoi co tham quyen
vellon	mang che mat
velocimeter	van toc ke
velocity	van toc
velum	man hinh
velutinous	nhung cai tot hon
velveret	vai nhung
velvetbreast	nhungbreast
velveteen	muoi may
velveting	mem mai
velvety	min nhu nhung
venae cavae	tinh mach chu
venae portae	tinh mach cua canh cong
venal	de hoi lo
venantes	dang toi
venary	chim an thit
vend	quoc gia
vendace	su che day
vended	tu dong
vendetta	nha cung cap
vendibility	kha nang cung cap
vendible	co the ban duoc
vending	ban hang tu dong
vendition	su cung cap
vendor	nguoi ban
vendue	da ban
veneer	van lang
venefice	thuoc doc
venene	cac tinh mach
veneracea	dang kinh
venerating	ton kinh
veneration	su ton kinh
venereal	hoa lieu
venereous	phong nha
venew	moi
vengeable	co the thay doi
vengeance	su bao thu
vengeful	tra thu
veniable	co the an duoc
veniality	an thit nguoi
venire facias	lam cho ban den
venison	thit nai
venite	thoi nao
venom	noc doc
venomous	co noc doc
venose	trong tinh mach
venous	tinh mach
vented	thong hoi
ventiduct	ong thong hoi
ventilative	thong gio
ventilator	may tho
venting	trut gian
ventose	ke hut mau
ventosity	su thong minh
ventouse	coc hut
ventricose	lo bung
ventricular	tam that
ventriculi	da day
ventriculite	bung
ventriculous	that thuong
ventriculus	nao that
ventrilocution	su phan bo
ventriloquist	nguoi noi tieng bung
